refcat_parcel,refcat_inmueble,nombre_via,num_1,num_2,km,dir_bi,cp_aprox,m2_bi
4248914UG4944N,4248914UG4944N0027RW,CL REALEJO,6  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14002,33
3546403UG4934N,3546403UG4934N0007SU,CL CONDE DE GONDOMAR,1  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,290
3546403UG4934N,3546403UG4934N0009FO,CL CONDE DE GONDOMAR,1  ,0  ,0,Blq:   Esc: E  Pl: 02  Pt: 02,14003,129
3546403UG4934N,3546403UG4934N0013GP,CL CONDE DE GONDOMAR,1  ,0  ,0,Blq:   Esc: E  Pl: 03  Pt: 03,14003,250
3546403UG4934N,3546403UG4934N0015JS,CL CONDE DE GONDOMAR,1  ,0  ,0,Blq:   Esc: E  Pl: 04  Pt: 04,14003,250
3546403UG4934N,3546403UG4934N0017LF,CL CONDE DE GONDOMAR,1  ,0  ,0,Blq:   Esc: E  Pl: 05  Pt: 05,14003,129
3548605UG4934N,3548605UG4934N0001LQ,CL SAN ALVARO,5  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,265
3246101UG4934N,3246101UG4934N0001MQ,CL EDUARDO DATO,9  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14003,139
3841616UG4934S,3841616UG4934S0001OO,CL CORREGIDOR LUIS CERDA,9  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,409
3441202UG4934S,3441202UG4934S0001KO,CL ROMERO,3  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,275
3841109UG4934S,3841109UG4934S0001XO,CL CORREGIDOR LUIS CERDA,51  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,286
3441523UG4934S,3441523UG4934S0003YA,CL CARDENAL HERRERO,12  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14003,364
3740319UG4934S,3740319UG4934S0001RO,CL CORREGIDOR LUIS CERDA,58  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,145
3643110UG4934S,3643110UG4934S0001UO,CL ENCARNACION,8  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,702
3342524UG4934S,3342524UG4934S0001EO,CL ROMERO,16  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,361
3240525UG4934S,3240525UG4934S0001PO,PZ CAMPO SANTOS MARTIRES,9  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14004,485
3441211UG4934S,3441211UG4934S0001EO,PZ JUDA LEVI,0  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,3236
3240524UG4934S,3240524UG4934S0001QO,PZ CAMPO SANTOS MARTIRES,10  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14004,570
