ref_catastral,codigo_uso,pc_31,valor_control,sup_bi
0253301UG4905S,M,,0,3130
0253302UG4905S,M,,0,3130
0351401UG4905S,M,,0,3130
0353401UG4905S,M,,0,3130
0353402UG4905S,M,,0,3130
7119829UG3971N,M,,0,3126
5794302UG4959S,M,,0,3123
14900A11000098,M,,0,3108
4407901UG3940N,M,,0,3108
0751901UG4905S,M,,0,3106
2805107UG4920N,M,,0,3105
6286106UG4968N,M,,0,3103
7004022UG3970S,M,,0,3102
8115306UH3081N,M,,0,3102
0053301UG4905S,M,,0,3098
0151301UG4905S,M,,0,3090
2608904UH4020N,M,,0,3090
7517609UH3071N,M,,0,3090
2112007UH5021S,M,,0,3085
2720507UH5022S,M,,0,3085
2608920UH4020N,M,,0,3080
7020104UG3972S,M,,0,3077
2608915UH4020N,M,,0,3074
8558311UG4985N,M,,0,3070
7714002UG3971S,M,,0,3066
8513215UH3081S,M,,0,3061
8513216UH3081S,M,,0,3061
2805103UG4920N,M,,0,3060
2805104UG4920N,M,,0,3060
2301603UH3020S,M,,0,3056
3009204UH5030N,M,,0,3056
3108501UH5030N,M,,0,3056
8347111UH3084N,M,,0,3056
2608917UH4020N,M,,0,3055
2214702UH4021S,M,,0,3050
8648502UH3084N,M,,0,3047
3495039UG3939N,M,,0,3043
1806301UH3010N,M,,0,3040
2709307UH4020N,M,,0,3040
0151302UG4905S,M,,0,3038
3222009UH5032S,M,,0,3038
7119819UG3971N,M,,0,3036
0758103UG4805N,M,,0,3035
0309822UG3901S,M,,0,3032
7119833UG3971N,M,,0,3031
9114102UH3091S,M,,0,3031
2006911UH3020N,M,,0,3030
1806302UH3010N,M,,0,3029
9110912UH3091S,M,,0,3018
14900A10400069,M,,0,3015
0637214UG4903N,M,,0,3008
8210409UH3081S,M,,0,3008
14900A08000101,M,,0,3005
0057108UG4805N,M,,0,3003
5683103UG4958S,M,,0,3003
2608916UH4020N,M,,0,3002
1196611UG4919N,M,,0,3001
1485102UG4918N,M,,0,3001
0122011UG4902S,M,,0,3000
1187626UG4918N,M,,0,3000
1196608UG4919N,M,,0,3000
1294611UG4919S,M,,0,3000
14900A09900042,M,,0,3000
14900A10800281,M,,0,3000
2214704UH4021S,M,,0,3000
2215101UH4021N,M,,0,3000
2215102UH4021N,M,,0,3000
2215104UH4021N,M,,0,3000
2412905UH4021S,M,,0,3000
2512701UH4021S,M,,0,3000
2512705UH4021S,M,,0,3000
2512708UH4021S,M,,0,3000
2608903UH4020N,M,,0,3000
2613901UH4021S,M,,0,3000
2613902UH4021S,M,,0,3000
2613904UH4021S,M,,0,3000
2613913UH4021S,M,,0,3000
2625017UH5022N,M,,0,3000
2709302UH4020N,M,,0,3000
2709303UH4020N,M,,0,3000
2709304UH4020N,M,,0,3000
2709306UH4020N,M,,0,3000
2714006UH5021S,M,,0,3000
2714007UH5021S,M,,0,3000
2714009UH5021S,M,,0,3000
2714010UH5021S,M,,0,3000
2999201UG5929N,M,,0,3000
3495005UG3939N,M,,0,3000
4667406UG3946N,M,,0,3000
4668108UG3946N,M,,0,3000
4770121UG3947S,M,,0,3000
4770123UG3947S,M,,0,3000
4770126UG3947S,M,,0,3000
4969306UG3946N,M,,0,3000
6485113UG4968N,M,,0,3000
7413402UH3071S,M,,0,3000
7814013UG3971S,M,,0,3000
8109423UH3080N,M,,0,3000
8109426UH3080N,M,,0,3000
8858007UG4985N,M,,0,3000
8906912UH3090N,M,,0,3000
8913930UH3081S,M,,0,3000
8932702UH3083S,M,,0,3000
9005205UH3090N,M,,0,3000
9161117UG4996S,M,,0,3000
9207102UG3090N,M,,0,3000
9260115UG4996S,M,,0,3000
9260117UG4996S,M,,0,3000
9260120UG4996S,M,,0,3000
9951502UG3995S,M,,0,3000
8606213UH3080N,M,,0,2998
7119831UG3971N,M,,0,2995
7218715UG3971N,M,,0,2995
0309812UG3901S,M,,0,2992
9260114UG4996S,M,,0,2990
0758128UG4805N,M,,0,2985
2006910UH3020N,M,,0,2984
2004305UH3020S,M,,0,2980
8513213UH3081S,M,,0,2980
6089504UG4968N,M,,0,2978
2259706UG4925N,M,,0,2972
3706708UG3930N,M,,0,2971
2714004UH5021S,M,,0,2970
2608910UH4020N,M,,0,2965
9110920UH3091S,M,,0,2961
8213414UH3081S,M,,0,2960
5892201UG4959S,M,,0,2959
1187611UG4918N,M,,0,2945
0411106UH4001S,M,,0,2940
1588116UG4918N,M,,0,2939
6720605UG3962S,M,,0,2935
1187617UG4918N,M,,0,2933
0763105UG4806S,M,,0,2930
2807601UG3920N,M,,0,2928
14900A10400068,M,,0,2925
0763103UG4806S,M,,0,2923
1890550UG4919S,M,,0,2918
4510429UG3941S,M,,0,2917
8145110UH3084N,M,,0,2915
0155302UG4905N,M,,0,2910
3222043UH5032S,M,,0,2907
0763104UG4806S,M,,0,2905
7614032UG3971S,M,,0,2905
2720515UH5022S,M,,0,2902
9110922UH3091S,M,,0,2895
7020107UG3972S,M,,0,2892
6797505UG3869N,M,,0,2890
83564A1UG4985N,M,,0,2887
2608912UH4020N,M,,0,2880
2773321UG4927S,M,,0,2880
4882104UG4948S,M,,0,2876
2108510UH5020N,M,,0,2874
9809524UG2990N,M,,0,2874
4969307UG3946N,M,,0,2870
0757905UG4905N,M,,0,2864
2006935UH3020N,M,,0,2862
8513214UH3081S,M,,0,2861
0951203UG4905S,M,,0,2855
0105101UG3900N,M,,0,2853
1187616UG4918N,M,,0,2845
4270401UG4947S,M,,0,2842
